second,philosopher,eatCount,eatNanosDelta,blockedMillisDelta
88,Leonardo,97,0,1001
89,Raphael,100,0,1002
89,Donatello,99,0,1002
89,Splinter,102,0,1002
89,Michelangelo,99,0,1002
89,Leonardo,97,0,1002
90,Raphael,100,0,1001
90,Donatello,99,0,1001
90,Splinter,102,0,1001
90,Michelangelo,99,0,1001
90,Leonardo,97,0,1001
91,Raphael,100,0,1002
91,Donatello,99,0,1002
91,Splinter,102,0,1002
91,Michelangelo,99,0,1002
91,Leonardo,97,0,1002
92,Raphael,100,0,1002
92,Donatello,99,0,1002
92,Splinter,102,0,1002
92,Michelangelo,99,0,1002
92,Leonardo,97,0,1002
93,Raphael,100,0,1001
93,Donatello,99,0,1001
93,Splinter,102,0,1001
93,Michelangelo,99,0,1001
93,Leonardo,97,0,1001
94,Raphael,100,0,1002
94,Donatello,99,0,1002
94,Splinter,102,0,1002
94,Michelangelo,99,0,1002
94,Leonardo,97,0,1002
95,Raphael,100,0,1001
95,Donatello,99,0,1001
95,Splinter,102,0,1001
95,Michelangelo,99,0,1001
95,Leonardo,97,0,1001
96,Raphael,100,0,1001
96,Donatello,99,0,1001
96,Splinter,102,0,1001
96,Michelangelo,99,0,1001
96,Leonardo,97,0,1001
97,Raphael,100,0,1001
97,Donatello,99,0,1001
97,Splinter,102,0,1001
97,Michelangelo,99,0,1001
97,Leonardo,97,0,1001
98,Raphael,100,0,1002
98,Donatello,99,0,1001
98,Splinter,102,0,1001
98,Michelangelo,99,0,1001
98,Leonardo,97,0,1001
99,Raphael,100,0,1001
99,Donatello,99,0,1001
99,Splinter,102,0,1001
99,Michelangelo,99,0,1001
99,Leonardo,97,0,1001
100,Raphael,100,0,1001
100,Donatello,99,0,1002
100,Splinter,102,0,1001
100,Michelangelo,99,0,1001
100,Leonardo,97,0,1001
101,Raphael,100,0,1001
101,Donatello,99,0,1001
101,Splinter,102,0,1001
101,Michelangelo,99,0,1001
101,Leonardo,97,0,1001
102,Raphael,100,0,1000
102,Donatello,99,0,1000
102,Splinter,102,0,1001
102,Michelangelo,99,0,1001
102,Leonardo,97,0,1001
103,Raphael,100,0,1001
103,Donatello,99,0,1001
103,Splinter,102,0,1001
103,Michelangelo,99,0,1001
103,Leonardo,97,0,1001
104,Raphael,100,0,1002
104,Donatello,99,0,1002
104,Splinter,102,0,1001
104,Michelangelo,99,0,1001
104,Leonardo,97,0,1001
105,Raphael,100,0,1001
105,Donatello,99,0,1001
105,Splinter,102,0,1002
105,Michelangelo,99,0,1002
105,Leonardo,97,0,1002
106,Raphael,100,0,1002
106,Donatello,99,0,1002
106,Splinter,102,0,1002
106,Michelangelo,99,0,1002
106,Leonardo,97,0,1002
107,Raphael,100,0,1001
107,Donatello,99,0,1001
107,Splinter,102,0,1001
107,Michelangelo,99,0,1001
107,Leonardo,97,0,1001
108,Raphael,100,0,1001
108,Donatello,99,0,1001
108,Splinter,102,0,1001
108,Michelangelo,99,0,1001
108,Leonardo,97,0,1001
109,Raphael,100,0,1002
109,Donatello,99,0,1001
109,Splinter,102,0,1001
109,Michelangelo,99,0,1001
109,Leonardo,97,0,1001
110,Raphael,100,0,1000
110,Donatello,99,0,1001
110,Splinter,102,0,1001
110,Michelangelo,99,0,1001
110,Leonardo,97,0,1001
111,Raphael,100,0,1002
111,Donatello,99,0,1002
111,Splinter,102,0,1001
111,Michelangelo,99,0,1001
111,Leonardo,97,0,1001
112,Raphael,100,0,1001
112,Donatello,99,0,1000
112,Splinter,102,0,1001
112,Michelangelo,99,0,1001
112,Leonardo,97,0,1001
113,Raphael,100,0,1000
113,Donatello,99,0,1001
113,Splinter,102,0,1001
113,Michelangelo,99,0,1001
113,Leonardo,97,0,1001
114,Raphael,100,0,1001
114,Donatello,99,0,1001
114,Splinter,102,0,1001
114,Michelangelo,99,0,1001
114,Leonardo,97,0,1001
115,Raphael,100,0,1002
115,Donatello,99,0,1002
115,Splinter,102,0,1002
115,Michelangelo,99,0,1002
115,Leonardo,97,0,1002
116,Raphael,100,0,1001
116,Donatello,99,0,1001
116,Splinter,102,0,1001
116,Michelangelo,99,0,1001
116,Leonardo,97,0,1001
117,Raphael,100,0,1001
117,Donatello,99,0,1001
117,Splinter,102,0,1001
117,Michelangelo,99,0,1001
117,Leonardo,97,0,1001
118,Raphael,100,0,1001
118,Donatello,99,0,1001
118,Splinter,102,0,1000
118,Michelangelo,99,0,1001
118,Leonardo,97,0,1000
119,Raphael,100,0,1000
119,Donatello,99,0,1000
119,Splinter,102,0,1001
119,Michelangelo,99,0,1000
119,Leonardo,97,0,1001
120,Raphael,100,0,1002
120,Donatello,99,0,1002
120,Splinter,102,0,1001
120,Michelangelo,99,0,1001
120,Leonardo,97,0,1001
121,Raphael,100,0,1000
121,Donatello,99,0,1000
121,Splinter,102,0,1001
121,Michelangelo,99,0,1001
121,Leonardo,97,0,1001
122,Raphael,100,0,1001
122,Donatello,99,0,1001
122,Splinter,102,0,1001
122,Michelangelo,99,0,1001
122,Leonardo,97,0,1001
123,Raphael,100,0,1003
123,Donatello,99,0,1003
123,Splinter,102,0,1002
123,Michelangelo,99,0,1003
123,Leonardo,97,0,1002
124,Raphael,100,0,1000
124,Donatello,99,0,1000
124,Splinter,102,0,1001
124,Michelangelo,99,0,1000
124,Leonardo,97,0,1001
125,Raphael,100,0,1001
125,Donatello,99,0,1001
125,Splinter,102,0,1001
125,Michelangelo,99,0,1001
125,Leonardo,97,0,1001
126,Raphael,100,0,1002
126,Donatello,99,0,1002
126,Splinter,102,0,1002
126,Michelangelo,99,0,1002
126,Leonardo,97,0,1002
127,Raphael,100,0,1002
127,Donatello,99,0,1001
127,Splinter,102,0,1001
127,Michelangelo,99,0,1001
127,Leonardo,97,0,1001
128,Raphael,100,0,1001
128,Donatello,99,0,1002
128,Splinter,102,0,1002
128,Michelangelo,99,0,1002
128,Leonardo,97,0,1002
129,Raphael,100,0,1002
129,Donatello,99,0,1001
129,Splinter,102,0,1001
129,Michelangelo,99,0,1001
129,Leonardo,97,0,1001
130,Raphael,100,0,1000
130,Donatello,99,0,1001
130,Splinter,102,0,1001
130,Michelangelo,99,0,1001
130,Leonardo,97,0,1001
131,Raphael,100,0,1001
131,Donatello,99,0,1001
131,Splinter,102,0,1001
131,Michelangelo,99,0,1001
131,Leonardo,97,0,1001
132,Raphael,100,0,1003
132,Donatello,99,0,1002
132,Splinter,102,0,1002
132,Michelangelo,99,0,1002
132,Leonardo,97,0,1002
133,Raphael,100,0,1001
133,Donatello,99,0,1002
133,Splinter,102,0,1002
133,Michelangelo,99,0,1002
133,Leonardo,97,0,1002
134,Raphael,100,0,1001
134,Donatello,99,0,1001
134,Splinter,102,0,1001
134,Michelangelo,99,0,1001
134,Leonardo,97,0,1001
135,Raphael,100,0,1001
135,Donatello,99,0,1001
135,Splinter,102,0,1001
135,Michelangelo,99,0,1001
135,Leonardo,97,0,1001
136,Raphael,100,0,1001
136,Donatello,99,0,1001
136,Splinter,102,0,1001
136,Michelangelo,99,0,1001
136,Leonardo,97,0,1001
137,Raphael,100,0,1001
137,Donatello,99,0,1001
137,Splinter,102,0,1001
137,Michelangelo,99,0,1001
137,Leonardo,97,0,1001
138,Raphael,100,0,1001
138,Donatello,99,0,1001
138,Splinter,102,0,1001
138,Michelangelo,99,0,1001
138,Leonardo,97,0,1001
139,Raphael,100,0,1001
139,Donatello,99,0,1001
139,Splinter,102,0,1001
139,Michelangelo,99,0,1001
139,Leonardo,97,0,1001
140,Raphael,100,0,1001
140,Donatello,99,0,1001
140,Splinter,102,0,1001
140,Michelangelo,99,0,1001
140,Leonardo,97,0,1001
141,Raphael,100,0,1001
141,Donatello,99,0,1001
141,Splinter,102,0,1001
141,Michelangelo,99,0,1001
141,Leonardo,97,0,1001
142,Raphael,100,0,1002
142,Donatello,99,0,1002
142,Splinter,102,0,1002
142,Michelangelo,99,0,1002
142,Leonardo,97,0,1002
143,Raphael,100,0,1001
143,Donatello,99,0,1001
143,Splinter,102,0,1001
143,Michelangelo,99,0,1001
143,Leonardo,97,0,1001
144,Raphael,100,0,1002
144,Donatello,99,0,1001
144,Splinter,102,0,1001
144,Michelangelo,99,0,1001
144,Leonardo,97,0,1001
145,Raphael,100,0,1000
145,Donatello,99,0,1001
145,Splinter,102,0,1001
145,Michelangelo,99,0,1001
145,Leonardo,97,0,1001
146,Raphael,100,0,1002
146,Donatello,99,0,1001
146,Splinter,102,0,1001
146,Michelangelo,99,0,1001
146,Leonardo,97,0,1001
147,Raphael,100,0,1000
147,Donatello,99,0,1001
147,Splinter,102,0,1001
147,Michelangelo,99,0,1001
147,Leonardo,97,0,1001
148,Raphael,100,0,1002
148,Donatello,99,0,1002
148,Splinter,102,0,1001
148,Michelangelo,99,0,1001
148,Leonardo,97,0,1001
149,Raphael,100,0,1001
149,Donatello,99,0,1001
149,Splinter,102,0,1002
149,Michelangelo,99,0,1002
149,Leonardo,97,0,1002
150,Raphael,100,0,1001
150,Donatello,99,0,1001
150,Splinter,102,0,1001
150,Michelangelo,99,0,1001
150,Leonardo,97,0,1001
151,Raphael,100,0,1002
151,Donatello,99,0,1002
151,Splinter,102,0,1002
151,Michelangelo,99,0,1002
151,Leonardo,97,0,1002
152,Raphael,100,0,1002
152,Donatello,99,0,1001
152,Splinter,102,0,1001
152,Michelangelo,99,0,1001
152,Leonardo,97,0,1001
153,Raphael,100,0,1001
153,Donatello,99,0,1002
153,Splinter,102,0,1002
153,Michelangelo,99,0,1002
153,Leonardo,97,0,1002
154,Raphael,100,0,1002
154,Donatello,99,0,1002
154,Splinter,102,0,1002
154,Michelangelo,99,0,1002
154,Leonardo,97,0,1002
155,Raphael,100,0,1001
155,Donatello,99,0,1001
155,Splinter,102,0,1001
155,Michelangelo,99,0,1001
155,Leonardo,97,0,1001
156,Raphael,100,0,1001
156,Donatello,99,0,1001
156,Splinter,102,0,1001
156,Michelangelo,99,0,1001
156,Leonardo,97,0,1001
157,Raphael,100,0,1002
157,Donatello,99,0,1002
157,Splinter,102,0,1001
157,Michelangelo,99,0,1001
157,Leonardo,97,0,1001
158,Raphael,100,0,1001
158,Donatello,99,0,1001
158,Splinter,102,0,1002
158,Michelangelo,99,0,1002
158,Leonardo,97,0,1002
159,Raphael,100,0,1001
159,Donatello,99,0,1001
159,Splinter,102,0,1001
159,Michelangelo,99,0,1001
159,Leonardo,97,0,1001
160,Raphael,100,0,1002
160,Donatello,99,0,1002
160,Splinter,102,0,1002
160,Michelangelo,99,0,1002
160,Leonardo,97,0,1002
161,Raphael,100,0,1002
161,Donatello,99,0,1002
161,Splinter,102,0,1002
161,Michelangelo,99,0,1002
161,Leonardo,97,0,1002
162,Raphael,100,0,1003
162,Donatello,99,0,1002
162,Splinter,102,0,1002
162,Michelangelo,99,0,1002
162,Leonardo,97,0,1002
163,Raphael,100,0,1000
163,Donatello,99,0,1001
163,Splinter,102,0,1001
163,Michelangelo,99,0,1001
163,Leonardo,97,0,1001
164,Raphael,100,0,1002
164,Donatello,99,0,1002
164,Splinter,102,0,1001
164,Michelangelo,99,0,1001
164,Leonardo,97,0,1001
165,Raphael,100,0,1000
165,Donatello,99,0,1000
165,Splinter,102,0,1001
165,Michelangelo,99,0,1001
165,Leonardo,97,0,1001
166,Raphael,100,0,1001
166,Donatello,99,0,1001
166,Splinter,102,0,1001
166,Michelangelo,99,0,1001
166,Leonardo,97,0,1001
167,Raphael,100,0,1001
167,Donatello,99,0,1001
167,Splinter,102,0,1001
167,Michelangelo,99,0,1001
167,Leonardo,97,0,1001
168,Raphael,100,0,1002
168,Donatello,99,0,1001
168,Splinter,102,0,1001
168,Michelangelo,99,0,1001
168,Leonardo,97,0,1001
169,Raphael,100,0,1000
169,Donatello,99,0,1001
169,Splinter,102,0,1001
169,Michelangelo,99,0,1001
169,Leonardo,97,0,1001
170,Raphael,100,0,1001
170,Donatello,99,0,1001
170,Splinter,102,0,1001
170,Michelangelo,99,0,1001
170,Leonardo,97,0,1001
171,Raphael,100,0,1001
171,Donatello,99,0,1001
171,Splinter,102,0,1001
171,Michelangelo,99,0,1001
171,Leonardo,97,0,1001
172,Raphael,100,0,1002
172,Donatello,99,0,1002
172,Splinter,102,0,1002
172,Michelangelo,99,0,1002
172,Leonardo,97,0,1002
173,Raphael,100,0,1001
173,Donatello,99,0,1001
173,Splinter,102,0,1001
173,Michelangelo,99,0,1001
173,Leonardo,97,0,1001
174,Raphael,100,0,1002
174,Donatello,99,0,1001
174,Splinter,102,0,1001
174,Michelangelo,99,0,1001
174,Leonardo,97,0,1001
175,Raphael,100,0,1000
175,Donatello,99,0,1001
175,Splinter,102,0,1001
175,Michelangelo,99,0,1001
175,Leonardo,97,0,1001
176,Raphael,100,0,1002
176,Donatello,99,0,1002
176,Splinter,102,0,1002
176,Michelangelo,99,0,1002
176,Leonardo,97,0,1002
177,Raphael,100,0,1001
177,Donatello,99,0,1001
177,Splinter,102,0,1001
177,Michelangelo,99,0,1001
177,Leonardo,97,0,1001
178,Raphael,100,0,1001
178,Donatello,99,0,1001
178,Splinter,102,0,1001
178,Michelangelo,99,0,1001
178,Leonardo,97,0,1001
179,Raphael,100,0,1001
179,Donatello,99,0,1001
179,Splinter,102,0,1001
179,Michelangelo,99,0,1001
179,Leonardo,97,0,1001
180,Raphael,100,0,1002
180,Donatello,99,0,1002
180,Splinter,102,0,1002
180,Michelangelo,99,0,1002
180,Leonardo,97,0,1002
181,Raphael,100,0,1001
181,Donatello,99,0,1001
181,Splinter,102,0,1001
181,Michelangelo,99,0,1001
181,Leonardo,97,0,1001
182,Raphael,100,0,1001
182,Donatello,99,0,1001
182,Splinter,102,0,1001
182,Michelangelo,99,0,1001
182,Leonardo,97,0,1001
183,Raphael,100,0,1001
183,Donatello,99,0,1001
183,Splinter,102,0,1001
183,Michelangelo,99,0,1001
183,Leonardo,97,0,1001
184,Raphael,100,0,1001
184,Donatello,99,0,1001
184,Splinter,102,0,1001
184,Michelangelo,99,0,1001
184,Leonardo,97,0,1001
185,Raphael,100,0,1002
185,Donatello,99,0,1002
185,Splinter,102,0,1002
185,Michelangelo,99,0,1002
185,Leonardo,97,0,1002
186,Raphael,100,0,1002
186,Donatello,99,0,1002
186,Splinter,102,0,1002
186,Michelangelo,99,0,1002
186,Leonardo,97,0,1002
187,Raphael,100,0,1001
187,Donatello,99,0,1001
187,Splinter,102,0,1001
187,Michelangelo,99,0,1001
187,Leonardo,97,0,1001
188,Raphael,100,0,1001
188,Donatello,99,0,1001
188,Splinter,102,0,1001
